"filename", "language", "Python", "JSON", "YAML", "Properties", "Ini", "Markdown", "comment", "blank", "total"
"d:\projetos\sd-gen-backend\api\api_users.py", "Python", 125, 0, 0, 0, 0, 0, 0, 11, 136
"d:\projetos\sd-gen-backend\api\api_users_folder.py", "Python", 80, 0, 0, 0, 0, 0, 0, 10, 90
"d:\projetos\sd-gen-backend\api\api_users_images.py", "Python", 241, 0, 0, 0, 0, 0, 9, 21, 271
"d:\projetos\sd-gen-backend\api\api_users_model.py", "Python", 30, 0, 0, 0, 0, 0, 0, 4, 34
"d:\projetos\sd-gen-backend\api\utils.py", "Python", 105, 0, 0, 0, 0, 0, 4, 21, 130
"d:\projetos\sd-gen-backend\config.ini", "Ini", 0, 0, 0, 0, 33, 0, 0, 8, 41
"d:\projetos\sd-gen-backend\config_core.py", "Python", 23, 0, 0, 0, 0, 0, 8, 8, 39
"d:\projetos\sd-gen-backend\crypto_dash\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\crypto_dash\crypto_core.py", "Python", 28, 0, 0, 0, 0, 0, 24, 8, 60
"d:\projetos\sd-gen-backend\docker\docker-compose.yml", "YAML", 0, 0, 39, 0, 0, 0, 0, 7, 46
"d:\projetos\sd-gen-backend\docker\nginx.conf", "Properties", 0, 0, 0, 33, 0, 0, 66, 36, 135
"d:\projetos\sd-gen-backend\functions_core.py", "Python", 63, 0, 0, 0, 0, 0, 6, 14, 83
"d:\projetos\sd-gen-backend\main.py", "Python", 12, 0, 0, 0, 0, 0, 0, 8, 20
"d:\projetos\sd-gen-backend\mongo\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projetos\sd-gen-backend\mongo\functions\folder_functions.py", "Python", 125, 0, 0, 0, 0, 0, 0, 15, 140
"d:\projetos\sd-gen-backend\mongo\functions\image_functions.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\projetos\sd-gen-backend\mongo\functions\model_functions.py", "Python", 52, 0, 0, 0, 0, 0, 45, 4, 101
"d:\projetos\sd-gen-backend\mongo\functions\permission_functions.py", "Python", 34, 0, 0, 0, 0, 0, 0, 5, 39
"d:\projetos\sd-gen-backend\mongo\functions\plan_functions.py", "Python", 103, 0, 0, 0, 0, 0, 0, 12, 115
"d:\projetos\sd-gen-backend\mongo\functions\role_functions.py", "Python", 80, 0, 0, 0, 0, 0, 0, 8, 88
"d:\projetos\sd-gen-backend\mongo\functions\user_folder_functions.py", "Python", 87, 0, 0, 0, 0, 0, 0, 8, 95
"d:\projetos\sd-gen-backend\mongo\functions\user_functions.py", "Python", 218, 0, 0, 0, 0, 0, 1, 27, 246
"d:\projetos\sd-gen-backend\mongo\functions\user_image_functions.py", "Python", 66, 0, 0, 0, 0, 0, 0, 6, 72
"d:\projetos\sd-gen-backend\mongo\functions\user_model_functions.py", "Python", 27, 0, 0, 0, 0, 0, 1, 9, 37
"d:\projetos\sd-gen-backend\mongo\models\folder_model.py", "Python", 54, 0, 0, 0, 0, 0, 0, 7, 61
"d:\projetos\sd-gen-backend\mongo\models\image_model.py", "Python", 163, 0, 0, 0, 0, 0, 0, 11, 174
"d:\projetos\sd-gen-backend\mongo\models\model_model.py", "Python", 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\projetos\sd-gen-backend\mongo\models\permission_model.py", "Python", 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\projetos\sd-gen-backend\mongo\models\plan_model.py", "Python", 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\projetos\sd-gen-backend\mongo\models\role_model.py", "Python", 25, 0, 0, 0, 0, 0, 0, 5, 30
"d:\projetos\sd-gen-backend\mongo\models\user_model.py", "Python", 91, 0, 0, 0, 0, 0, 0, 16, 107
"d:\projetos\sd-gen-backend\mongo\mongo_core.py", "Python", 181, 0, 0, 0, 0, 0, 3, 28, 212
"d:\projetos\sd-gen-backend\mongo\mongo_data.py", "Python", 258, 0, 0, 0, 0, 0, 1, 18, 277
"d:\projetos\sd-gen-backend\package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\projetos\sd-gen-backend\redis_core.py", "Python", 147, 0, 0, 0, 0, 0, 0, 14, 161
"d:\projetos\sd-gen-backend\sd_automatic\automatic_core.py", "Python", 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\projetos\sd-gen-backend\sd_comfy\comfy_core.py", "Python", 100, 0, 0, 0, 0, 0, 1, 13, 114
"d:\projetos\sd-gen-backend\sd_comfy\comfy_faceswap.py", "Python", 16, 0, 0, 0, 0, 0, 82, 3, 101
"d:\projetos\sd-gen-backend\sd_comfy\comfy_sd15.py", "Python", 66, 0, 0, 0, 0, 0, 215, 7, 288
"d:\projetos\sd-gen-backend\sd_comfy\comfy_sdxl.py", "Python", 62, 0, 0, 0, 0, 0, 242, 9, 313
"Total", "-", 3211, 10, 39, 33, 33, 613, 738, 580, 5257
